realtime_start,realtime_end,date,value
2024-05-29,2024-05-29,1985-08-01,107.9
2024-05-29,2024-05-29,1985-09-01,108.1
2024-05-29,2024-05-29,1985-10-01,108.5
2024-05-29,2024-05-29,1985-11-01,109.0
2024-05-29,2024-05-29,1985-12-01,109.5
2024-05-29,2024-05-29,1986-01-01,109.9
2024-05-29,2024-05-29,1986-02-01,109.7
2024-05-29,2024-05-29,1986-03-01,109.1
2024-05-29,2024-05-29,1986-04-01,108.7
2024-05-29,2024-05-29,1986-05-01,109.0
2024-05-29,2024-05-29,1986-06-01,109.4
2024-05-29,2024-05-29,1986-07-01,109.5
2024-05-29,2024-05-29,1986-08-01,109.6
2024-05-29,2024-05-29,1986-09-01,110.0
2024-05-29,2024-05-29,1986-10-01,110.2
2024-05-29,2024-05-29,1986-11-01,110.4
2024-05-29,2024-05-29,1986-12-01,110.8
2024-05-29,2024-05-29,1987-01-01,111.4
2024-05-29,2024-05-29,1987-02-01,111.8
2024-05-29,2024-05-29,1987-03-01,112.2
2024-05-29,2024-05-29,1987-04-01,112.7
2024-05-29,2024-05-29,1987-05-01,113.0
2024-05-29,2024-05-29,1987-06-01,113.5
2024-05-29,2024-05-29,1987-07-01,113.8
2024-05-29,2024-05-29,1987-08-01,114.3
2024-05-29,2024-05-29,1987-09-01,114.7
2024-05-29,2024-05-29,1987-10-01,115.0
2024-05-29,2024-05-29,1987-11-01,115.4
2024-05-29,2024-05-29,1987-12-01,115.6
2024-05-29,2024-05-29,1988-01-01,116.0
2024-05-29,2024-05-29,1988-02-01,116.2
2024-05-29,2024-05-29,1988-03-01,116.5
2024-05-29,2024-05-29,1988-04-01,117.2
2024-05-29,2024-05-29,1988-05-01,117.5
2024-05-29,2024-05-29,1988-06-01,118.0
2024-05-29,2024-05-29,1988-07-01,118.5
2024-05-29,2024-05-29,1988-08-01,119.0
2024-05-29,2024-05-29,1988-09-01,119.5
2024-05-29,2024-05-29,1988-10-01,119.9
2024-05-29,2024-05-29,1988-11-01,120.3
2024-05-29,2024-05-29,1988-12-01,120.7
2024-05-29,2024-05-29,1989-01-01,121.2
2024-05-29,2024-05-29,1989-02-01,121.6
2024-05-29,2024-05-29,1989-03-01,122.2
2024-05-29,2024-05-29,1989-04-01,123.1
2024-05-29,2024-05-29,1989-05-01,123.7
2024-05-29,2024-05-29,1989-06-01,124.1
2024-05-29,2024-05-29,1989-07-01,124.5
2024-05-29,2024-05-29,1989-08-01,124.5
2024-05-29,2024-05-29,1989-09-01,124.8
2024-05-29,2024-05-29,1989-10-01,125.4
2024-05-29,2024-05-29,1989-11-01,125.9
2024-05-29,2024-05-29,1989-12-01,126.3
2024-05-29,2024-05-29,1990-01-01,127.5
2024-05-29,2024-05-29,1990-02-01,128.0
2024-05-29,2024-05-29,1990-03-01,128.6
2024-05-29,2024-05-29,1990-04-01,128.9
2024-05-29,2024-05-29,1990-05-01,129.1
2024-05-29,2024-05-29,1990-06-01,129.9
2024-05-29,2024-05-29,1990-07-01,130.5
2024-05-29,2024-05-29,1990-08-01,131.6
2024-05-29,2024-05-29,1990-09-01,132.5
2024-05-29,2024-05-29,1990-10-01,133.4
2024-05-29,2024-05-29,1990-11-01,133.7
2024-05-29,2024-05-29,1990-12-01,134.2
2024-05-29,2024-05-29,1991-01-01,134.7
2024-05-29,2024-05-29,1991-02-01,134.8
2024-05-29,2024-05-29,1991-03-01,134.8
2024-05-29,2024-05-29,1991-04-01,135.1
2024-05-29,2024-05-29,1991-05-01,135.6
2024-05-29,2024-05-29,1991-06-01,136.0
2024-05-29,2024-05-29,1991-07-01,136.2
2024-05-29,2024-05-29,1991-08-01,136.6
2024-05-29,2024-05-29,1991-09-01,137.0
2024-05-29,2024-05-29,1991-10-01,137.2
2024-05-29,2024-05-29,1991-11-01,137.8
2024-05-29,2024-05-29,1991-12-01,138.2
2024-05-29,2024-05-29,1992-01-01,138.3
2024-05-29,2024-05-29,1992-02-01,138.6
2024-05-29,2024-05-29,1992-03-01,139.1
2024-05-29,2024-05-29,1992-04-01,139.4
2024-05-29,2024-05-29,1992-05-01,139.7
2024-05-29,2024-05-29,1992-06-01,140.1
2024-05-29,2024-05-29,1992-07-01,140.5
2024-05-29,2024-05-29,1992-08-01,140.8
2024-05-29,2024-05-29,1992-09-01,141.1
2024-05-29,2024-05-29,1992-10-01,141.7
2024-05-29,2024-05-29,1992-11-01,142.1
2024-05-29,2024-05-29,1992-12-01,142.3
2024-05-29,2024-05-29,1993-01-01,142.8
2024-05-29,2024-05-29,1993-02-01,143.1
2024-05-29,2024-05-29,1993-03-01,143.3
2024-05-29,2024-05-29,1993-04-01,143.8
